EventLevelName,EventID,EventCategory,SecurityEvent
Information,4624,12544,0
Information,4627,12554,0
Information,4672,12548,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4688,13312,0
Information,4673,13056,1
Information,4799,13826,1
Information,4799,13826,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4688,13312,0
Information,4688,13312,0
Information,4702,12804,0
Information,4688,13312,0
Information,4673,13056,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4702,12804,0
Information,4702,12804,0
Information,4688,13312,0
Information,4688,13312,0
Information,4776,14336,0
Information,4625,12544,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4624,12544,0
Information,4627,12554,0
Information,4672,12548,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4688,13312,0
Information,4673,13056,1
Information,4799,13826,1
Information,4799,13826,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4688,13312,0
Information,4688,13312,0
Information,4702,12804,0
Information,4688,13312,0
Information,4673,13056,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4702,12804,0
Information,4702,12804,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4702,12804,0
Information,4702,12804,0
Information,4776,14336,0
Information,4625,12544,1
Information,4776,14336,0
Information,4625,12544,1
Information,4776,14336,0
Information,4625,12544,1
Information,4776,14336,0
Information,4625,12544,1
Information,4776,14336,0
Information,4625,12544,1
Information,4776,14336,0
Information,4625,12544,1
Information,4776,14336,0
Information,4625,12544,1
Information,4776,14336,0
Information,4625,12544,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4624,12544,0
Information,4627,12554,0
Information,4672,12548,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4688,13312,0
Information,4673,13056,1
Information,4799,13826,1
Information,4799,13826,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4688,13312,0
Information,4688,13312,0
Information,4702,12804,0
Information,4688,13312,0
Information,4673,13056,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4688,13312,0
Information,4688,13312,0
Information,4624,12544,0
Information,4627,12554,0
Information,4672,12548,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4799,13826,1
Information,4799,13826,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4688,13312,0
Information,4688,13312,0
Information,4702,12804,0
Information,4688,13312,0
Information,4673,13056,1
Information,4688,13312,0
Information,4673,13056,1
Information,4688,13312,0
Information,4673,13056,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4688,13312,0
Information,4673,13056,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4688,13312,0
Information,4673,13056,1
Information,4799,13826,1
Information,4799,13826,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4688,13312,0
Information,4688,13312,0
Information,4702,12804,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4624,12544,0
Information,4627,12554,0
Information,4672,12548,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4624,12544,0
Information,4627,12554,0
Information,4672,12548,1
Information,4688,13312,0
Information,4688,13312,0
Information,4702,12804,0
Information,4702,12804,0
Information,4624,12544,0
Information,4627,12554,0
Information,4672,12548,1
Information,4688,13312,0
Information,4673,13056,1
Information,4688,13312,0
Information,4673,13056,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4799,13826,1
Information,4799,13826,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4688,13312,0
Information,4688,13312,0
Information,4702,12804,0
Information,4688,13312,0
Information,4673,13056,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4776,14336,0
Information,4625,12544,1
Information,4776,14336,0
Information,4625,12544,1
Information,4776,14336,0
Information,4625,12544,1
Information,4624,12544,0
Information,4627,12554,0
Information,4672,12548,1
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4799,13826,1
Information,4799,13826,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4702,12804,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4624,12544,0
Information,4627,12554,0
Information,4672,12548,1
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4799,13826,1
Information,4799,13826,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4702,12804,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4702,12804,0
Information,4702,12804,0
Information,4776,14336,0
Information,4625,12544,1
Information,4776,14336,0
Information,4625,12544,1
Information,4776,14336,0
Information,4625,12544,1
Information,4776,14336,0
Information,4625,12544,1
Information,4688,13312,0
Information,4688,13312,0
Information,4776,14336,0
Information,4625,12544,1
Information,4688,13312,0
Information,4702,12804,0
Information,4702,12804,0
Information,4688,13312,0
Information,4688,13312,0
Information,4624,12544,0
Information,4627,12554,0
Information,4672,12548,1
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4688,13312,0
Information,4688,13312,0
Information,4776,14336,0
Information,4625,12544,1
Information,4688,13312,0
Information,4673,13056,1
Information,4799,13826,1
Information,4799,13826,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4702,12804,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4776,14336,0
Information,4625,12544,1
Information,4673,13056,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4688,13312,0
Information,4673,13056,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4624,12544,0
Information,4627,12554,0
Information,4672,12548,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4624,12544,0
Information,4627,12554,0
Information,4672,12548,1
Information,4688,13312,0
Information,4688,13312,0
Information,4624,12544,0
Information,4627,12554,0
Information,4672,12548,1
Information,4688,13312,0
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,4688,13312,0
Information,5379,13824,1
Information,5058,12292,0
Information,5061,12290,0
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,4688,13312,0
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4701,12804,0
Information,4624,12544,0
Information,4627,12554,0
Information,4672,12548,1
Information,4688,13312,0
Information,4673,13056,1
Information,4699,12804,0
Information,4688,13312,0
Information,4698,12804,0
Information,4673,13056,1
Information,4688,13312,0
Information,4702,12804,0
Information,4624,12544,0
Information,4627,12554,0
Information,4672,12548,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4702,12804,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4798,13824,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4688,13312,0
Information,4701,12804,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4799,13826,1
Information,4799,13826,1
Information,4799,13826,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4624,12544,0
Information,4627,12554,0
Information,4672,12548,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4674,13056,1
Information,4674,13056,1
Information,4674,13056,1
Information,4674,13056,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4702,12804,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
